Spanish,English,Type
ques,ans,none
Tacos,Tacos,s
Empanadas,Empanadas,s
Paella,Paella,s
Ceviche,Ceviche,s
Arepas,Arepas,s
Churros,Churros,s
Guacamole,Guacamole,s
Salsa,Salsa,s
Feijoada,Feijoada,s
Asado,Asado,s
Plantains,Plantains,s
Gazpacho,Gazpacho,s
Tamale,Tamale,s
Pupusa,Pupusa,s
Tamales,Tamales,s
Yucca,Yucca,s
Chiles Rellenos,Stuffed Peppers,s
Arroz,Rice,s
Trigo,Wheat,s
Carne,Meat,s
Vegetales,Vegetables,s
Frutas,Fruits,s
Pan,Bread,s
Pasta,Pasta,s
Pescado,Fish,s
Mariscos,Seafood,s
Pollo,Chicken,s
Cerdo,Pork,s
Ternera,Beef,s
Lechuga,Lettuce,s
Tomate,Tomato,s
Cebolla,Onion,s
Ajo,Garlic,s
Zanahoria,Carrot,s
Ensalada,Salad,s
Agua,Water,s
