Spanish,English,Type
"abandonar
","abandonar
"
"abrir
","abrir
"
"acabar, terminar
","acabar, terminar
"
"acampar
","acampar
"
"aceptar
","aceptar
"
"acompañar
","acompañar
"
"aconsejar
","aconsejar
"
"acordarse de, recordar
","acordarse de, recordar
"
"acostarse
","acostarse
"
"actuar
","actuar
"
"adelantar
","adelantar
"
"adjuntar, incluir
","adjuntar, incluir
"
"advertir
","advertir
"
"afeitarse
","afeitarse
"
"agradecer
","agradecer
"
"ahorrar
","ahorrar
"
"almorzar
","almorzar
"
"alojar; hospedar
","alojar; hospedar
"
"alojarse
","alojarse
"
"alquilar
","alquilar
"
"amar
","amar
"
"amenazar
","amenazar
"
"ampliar
","ampliar
"
"añadir
","añadir
"
"andar, caminar, pasear
","andar, caminar, pasear
"
"apagar
","apagar
"
"aparcar
","aparcar
"
"apetecer
","apetecer
"
"apreciar
","apreciar
"
"aprender
","aprender
"
"aprobar (un examen)
","aprobar (un examen)
"
"aprovechar
","aprovechar
"
"apuntar
","apuntar
"
"archivar
","archivar
"
"arreglar
","arreglar
"
"arreglar
","arreglar
"
"arrepentirse, lamentar
","arrepentirse, lamentar
"
"ascender, cambiar
","ascender, cambiar
"
"asistir a
","asistir a
"
"asistir a colegio
","asistir a colegio
"
"atender una mesa, servir a la mesa
","atender una mesa, servir a la mesa
"
"aterrizar
","aterrizar
"
"aumentar
","aumentar
"
"averiguar, verificar
","averiguar, verificar
"
"ayudar
","ayudar
"
"bailar
","bailar
"
"bajar
","bajar
"
"bañarse
","bañarse
"
"beber
","beber
"
"beber
","beber
"
"brillar
","brillar
"
"buscar
","buscar
"
"caer
","caer
"
"calcular
","calcular
"
"cambiar
","cambiar
"
"cancelar
","cancelar
"
"cantar
","cantar
"
"cargar
","cargar
"
"casarse
","casarse
"
"celebrar, festejar
","celebrar, festejar
"
"cenar
","cenar
"
"cepillarse
","cepillarse
"
"cerrar
","cerrar
"
"chatear
","chatear
"
"chocar
","chocar
"
"circular, viajar (en coche)
","circular, viajar (en coche)
"
"cliquear, hacer clic
","cliquear, hacer clic
"
